,List Of Phones and Tablets,Prices
0,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset - Black,GH₵ 75.00
1,Tripod Mobile phone Camera Foldable Stand Holder Table Smartphone Tripod,GH₵ 34.00
2,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset white,GH₵ 62.00
3,Fingerprint Touch Noise-cancelling Stereo Bluetooth Headset - Black,GH₵ 28.00
4,Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 55.00
5,Universal Adjustable Desktop Tablet Stands Phone Holder bracket for ipad phone tablet stand mount,GH₵ 18.00
6,TWS Wireless Bluetooth Earphones - White,GH₵ 38.80
7,P47 Wireless Headset - White,GH₵ 29.47
8,"Wireless Bluetooth Earphone For iPhone, Samsung Pods - Black",GH₵ 34.00
9,P47 Wireless Foldable Bluetooth Headset - Black,GH₵ 33.00
10,Wireless Bluetooth Headset 2000mAh - Black,GH₵ 75.00
11,C3 Bluetooth 5.0 Wireless Headsets 10D Stereo Headphones With LED sports Earphone PRO3,GH₵ 32.00
12,Wireless Headphone Bluetooth 5.0 In-ear Stereo,GH₵ 45.00
13,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 554.00
14,Smart Bluetooth watches for ios and Android bands,GH₵ 30.00
15,Wireless Bluetooth Earphone For iPhone Samsung Pods - White,GH₵ 33.00
16,Color Screen Smart Bracelet Waterproof Bracelet,GH₵ 42.00
17,F9-32 Stereo V5.1 Bluetooth Earphone Power Banks,GH₵ 51.00
18,IOOIOO Micro SD Memory Card - 32GB - Black,GH₵ 19.00
19,Lenovo HE01 BT 5.0 Neckband Wireless Earphones Waterproof w/MIC Line Control,GH₵ 22.00
20,TWS Air Pro 6 Bluetooth Earphone Earbuds HiFi Stereo Touch Sensor Control Mic For Android & IOS,GH₵ 58.00
21,Wireless Bluetooth 5.0 Waterproof Headphones - Black,GH₵ 43.00
22,Itel A16 Plus - 8GB HDD - 1GB RAM -  Phantom Black + Free Gifts,GH₵ 251.00
23,Wireless Bluetooth Earphones - White,GH₵ 45.00
24,ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 35.00
25,TWS i12Tws Wireless Bluetooth 5.0 Sport Headset - White,GH₵ 32.98
26,New I5 Smartwatch - Pink,GH₵ 47.00
27,Heart Rate Sport Bracelet Smart Watch - Black,GH₵ 32.00
28,Bluetooth 4.0 Headset Universal V9 Business Wireless,GH₵ 29.00
29,M11 T-WS LCD Bluetooth 5.0 Wireless Headphones - Black,GH₵ 69.00
30,Bluetooth 5.0 Earphones 2200mAh Wireless Headphone,GH₵ 43.00
31,Lenovo LP40 Bluetooth 5.0 True Wireless Sport Headset -  White,GH₵ 59.00
32,3 in 1 Wireless Bluetooth Selfie Stick Foldable Mini Tripod,GH₵ 35.00
33,V9 Earhook Wireless Bluetooth Earphone CSR Noise Cancelling Earpiece Headset Portable,GH₵ 34.00
34,Pro 6 Bluetooth Earphone - White,GH₵ 49.00
35,Smart Watch With Camera & SIM Card Slot - Black,GH₵ 65.00
36,T WS Bluetooth headset + ios smart watch waterproof sports combination affordable set,GH₵ 77.00
37,Color screen smart watch heart rate sport bracelet,GH₵ 33.00
38,TCL L7 Smartphone  - 32GB HDD - 2GB RAM - Black,GH₵ 383.04
39,"GT20 1.69 inch TFT Screen IP67 Waterproof Smart Watch, Style:Steel Strap(Black)",GH₵ 121.00
